x,y,vx,vy,rho,e,P
0.4,0.133235,-1.52675e-05,-4.78185e-06,12.7896,1.795,15.3049
0.425,0.133234,-1.75389e-05,-4.81435e-05,12.7858,1.79499,15.3003
0.45,0.133233,5.48549e-06,-8.93307e-05,12.7819,1.79499,15.2956
0.475,0.133233,6.07021e-07,-8.69432e-05,12.7825,1.79499,15.2963
0.5,0.133234,1.2144e-06,-8.61101e-05,12.7823,1.79499,15.2961
0.525,0.133234,1.02937e-06,-8.61874e-05,12.7823,1.79499,15.2961
0.55,0.133234,4.95533e-07,-8.65156e-05,12.7823,1.79499,15.2961
0.575,0.133234,1.63257e-05,-5.57764e-05,12.7863,1.79499,15.3009
0.6,0.133235,1.91559e-05,-1.3552e-05,12.79,1.795,15.3053
0.625,0.133235,-4.24281e-06,3.04168e-05,12.7938,1.795,15.3099
0.65,0.133235,3.56236e-07,2.65548e-05,12.7931,1.795,15.3091
0.675,0.133235,-2.02652e-07,2.37418e-05,12.7933,1.795,15.3093
0.7,0.133235,4.17805e-07,2.33058e-05,12.7933,1.795,15.3093
0.725,0.133235,3.5564e-07,2.35081e-05,12.7933,1.795,15.3093
0.75,0.133235,3.14262e-07,2.35882e-05,12.7933,1.795,15.3093
0.775,0.133235,2.62707e-07,2.35919e-05,12.7933,1.795,15.3093
0.8,0.133235,1.54126e-07,2.35138e-05,12.7933,1.795,15.3093
0.825,0.133235,4.67844e-07,2.31376e-05,12.7933,1.795,15.3093
0.85,0.133235,2.50364e-06,2.26029e-05,12.7933,1.795,15.3093
0.875,0.133235,2.08397e-07,2.46706e-05,12.7935,1.795,15.3095
0.899999,0.133235,-3.24355e-05,2.88279e-05,12.7933,1.795,15.3094
0.925001,0.133234,1.42973e-05,-7.11949e-06,12.7902,1.79499,15.3056
0.950017,0.133232,0.000676739,-0.000113478,12.7858,1.79498,15.3002
0.975051,0.13323,0.0022647,-0.000190537,12.8352,1.79511,15.3604
0.999687,0.13282,-0.0112872,-0.0243352,14.5448,1.79555,17.4106
0.0129574,0.155299,0.0190524,-0.00723366,12.9471,1.79545,15.4972
0.0374358,0.155469,-0.0025113,0.00168593,12.7381,1.79515,15.2445
0.0624859,0.155428,-0.000785414,-0.000745714,12.8458,1.795,15.3721
0.0874948,0.155441,-0.000114389,5.68446e-05,12.7732,1.79499,15.2852
0.112499,0.15544,-4.06644e-05,-3.15094e-05,12.7982,1.795,15.3152
0.137501,0.15544,2.74405e-05,-6.45816e-06,12.7938,1.795,15.3099
0.1625,0.15544,2.07699e-06,-1.15017e-05,12.7948,1.795,15.3111
0.1875,0.15544,-9.31496e-07,-1.14142e-05,12.7945,1.795,15.3108
0.2125,0.15544,-1.51018e-07,-1.14704e-05,12.7946,1.795,15.3108
0.2375,0.15544,2.53165e-07,-1.15383e-05,12.7946,1.795,15.3108
0.2625,0.15544,1.91951e-07,-1.16039e-05,12.7946,1.795,15.3108
0.2875,0.15544,3.20339e-07,-1.13003e-05,12.7946,1.795,15.3109
0.3125,0.15544,1.00784e-06,-1.02848e-05,12.7947,1.795,15.311
0.3375,0.15544,-1.51124e-05,-4.04527e-05,12.7908,1.795,15.3063
0.3625,0.155439,-1.66959e-05,-8.23709e-05,12.7869,1.79499,15.3016
0.387499,0.155438,-3.47673e-05,-0.000140191,12.7778,1.79498,15.2906
0.412519,0.155473,0.000932038,0.00155549,12.7954,1.795,15.3118
0.437497,0.15551,-0.00017282,0.00346475,12.8271,1.79506,15.3503
0.4625,0.15551,2.50061e-05,0.00342707,12.8088,1.79503,15.3282
0.4875,0.155511,-1.63037e-05,0.00345971,12.8111,1.79503,15.3309
0.512499,0.155511,-2.11513e-05,0.00346672,12.811,1.79503,15.3308
0.537499,0.155511,-2.24098e-05,0.00346568,12.8112,1.79503,15.331
0.5625,0.155511,1.8666e-05,0.00348151,12.8163,1.79504,15.3372
0.58748,0.155476,-0.000973843,0.00174144,12.7989,1.79502,15.3162
0.612503,0.15544,0.000175486,-0.000104235,12.7684,1.79496,15.2793
0.637499,0.155441,-3.77587e-05,-1.52542e-05,12.7909,1.79499,15.3064
0.6625,0.15544,4.46226e-06,-3.18568e-05,12.791,1.795,15.3066
0.6875,0.15544,-5.91338e-06,-8.03736e-06,12.795,1.795,15.3113
0.7125,0.15544,1.19579e-06,-1.0919e-05,12.7943,1.795,15.3105
0.7375,0.15544,2.69401e-07,-1.20188e-05,12.7945,1.795,15.3108
0.7625,0.15544,1.71618e-07,-1.16968e-05,12.7946,1.795,15.3108
0.7875,0.15544,9.34411e-08,-1.1537e-05,12.7946,1.795,15.3108
0.8125,0.15544,1.07802e-08,-1.15638e-05,12.7946,1.795,15.3108
0.8375,0.15544,7.28636e-07,-1.18493e-05,12.7946,1.795,15.3108
0.8625,0.15544,1.87821e-06,-1.15494e-05,12.7946,1.795,15.3109
0.8875,0.15544,-1.32934e-05,-8.41503e-06,12.7948,1.795,15.3111
0.912499,0.15544,-4.36627e-05,-2.08224e-05,12.7936,1.795,15.3096
0.937506,0.155438,0.000224114,-0.000115052,12.7891,1.79499,15.3041
0.962527,0.155438,0.00106634,-7.01247e-05,12.7775,1.79499,15.2903
0.987587,0.155464,0.00551853,0.00161103,13.0832,1.79553,15.6609
1.0109,0.155837,-0.073193,0.0229158,11.3724,1.79386,13.6002
0.00167813,0.177878,0.0783683,0.0116382,12.46,1.79368,14.8994
0.0246329,0.177539,-0.0221691,-0.00580836,14.6302,1.79575,17.5148
0.0500686,0.177662,0.00449228,0.00106409,12.5269,1.79499,14.9904
0.0749712,0.177643,-0.00164785,-0.000200708,12.875,1.795,15.4071
0.1,0.177646,9.98966e-05,8.84461e-06,12.7761,1.79499,15.2886
0.125,0.177646,-4.09935e-06,-2.01789e-06,12.7968,1.795,15.3134
0.15,0.177646,1.58484e-05,9.97578e-07,12.794,1.795,15.3101
0.175,0.177646,-1.30785e-06,-3.29034e-07,12.7943,1.795,15.3105
0.2,0.177646,-1.01483e-06,-5.11678e-07,12.7942,1.795,15.3104
0.225,0.177646,-1.34301e-07,-5.09603e-07,12.7942,1.795,15.3104
0.25,0.177646,1.85908e-07,-1.96627e-07,12.7942,1.795,15.3104
0.275,0.177646,8.21769e-07,7.9727e-07,12.7943,1.795,15.3105
0.3,0.177646,-1.42303e-05,-2.80567e-05,12.7903,1.795,15.3056
0.324999,0.177645,-5.7701e-05,-8.71305e-05,12.7813,1.79499,15.2948
0.350019,0.177679,0.000947526,0.00157624,12.7943,1.795,15.3105
0.374998,0.177719,-0.000190377,0.00358358,12.8203,1.79505,15.3421
0.400049,0.177721,0.00233586,0.00362601,12.7807,1.79498,15.2941
0.425149,0.177551,0.00649378,-0.00387794,12.8674,2.50004,21.446
0.449988,0.17757,-0.000519303,-0.00297934,12.8259,2.50009,21.3773
0.474982,0.17757,-0.00075931,-0.00301013,12.8217,2.50002,21.3697
0.499986,0.17757,-0.000555681,-0.0030025,12.8185,2.50003,21.3643
0.524986,0.177569,-0.000572754,-0.00301362,12.82,2.50003,21.3669
0.549986,0.177567,-0.000543493,-0.0030972,12.8258,2.50003,21.3766
0.574943,0.177565,-0.00261872,-0.00317319,12.8495,2.50009,21.4167
