x,vx,rho,e,P
0.87,5.61597e-12,0.251104,1.795,0.180293
0.8775,2.36807e-12,0.251104,1.795,0.180293
0.885,7.29487e-13,0.251104,1.795,0.180293
0.8925,4.66073e-14,0.251104,1.795,0.180293
0.9,1.02135e-14,0.251104,1.795,0.180293
0.9075,-3.45591e-14,0.251104,1.795,0.180293
0.915,-3.5523e-13,0.251104,1.795,0.180293
0.9225,-1.73869e-12,0.251104,1.795,0.180293
0.93,-5.8251e-12,0.251104,1.795,0.180293
0.9375,-1.73883e-11,0.251104,1.795,0.180293
0.945,-5.09218e-11,0.251104,1.795,0.180293
0.9525,-1.52434e-10,0.251104,1.795,0.180293
0.96,-4.70914e-10,0.251104,1.795,0.180293
0.9675,-1.45063e-09,0.251104,1.795,0.180293
0.975,-4.3659e-09,0.251104,1.795,0.180293
0.9825,-1.30366e-08,0.251104,1.795,0.180293
0.99,-3.92092e-08,0.251104,1.795,0.180293
0.9975,-1.17712e-07,0.251104,1.795,0.180293
1.005,-3.46752e-07,0.251104,1.795,0.180293
1.0125,-9.97005e-07,0.251104,1.795,0.180293
1.02,-2.8047e-06,0.251104,1.795,0.180293
1.0275,-7.77097e-06,0.251105,1.79501,0.180294
1.035,-2.10172e-05,0.251108,1.79501,0.180297
1.0425,-5.47812e-05,0.251114,1.79504,0.180303
1.05,-0.00013709,0.251128,1.79509,0.18032
1.0575,-0.000328867,0.251164,1.79522,0.180358
1.065,-0.00075249,0.251247,1.79551,0.180446
1.07249,-0.0016363,0.251424,1.79609,0.180632
1.07997,-0.0032913,0.251775,1.79717,0.180993
1.08745,-0.00600617,0.252378,1.79896,0.181607
1.09489,-0.0100852,0.25333,1.80143,0.182543
1.10232,-0.0136565,0.254548,1.8039,0.183671
1.1097,-0.0162857,0.254853,1.80255,0.183754
1.11714,-0.00344036,0.252425,1.79282,0.181021
1.12467,0.0334303,0.242974,1.76446,0.171487
1.13273,0.0942795,0.227603,1.72052,0.156638
1.1413,0.187073,0.209728,1.6634,0.139545
1.15079,0.267692,0.189835,1.60062,0.121541
1.16126,0.383597,0.170389,1.52806,0.104146
1.17304,0.487699,0.150908,1.46109,0.0881963
1.18639,0.632232,0.131752,1.34819,0.0710508
1.20232,0.777231,0.110848,1.178,0.0522318
1.22149,0.990705,0.081379,0.940216,0.0306055
1.25557,1.31689,0.0458406,1.05151,0.0192807
1.30996,2.11279,0.0220165,1.1195,0.00985898
