x,y,z,vx,vy,vz,rho,e,P
-0.359807,0.028437,-0.171501,0.00169159,-0.0032238,-0.000714816,347.716,2.5,347.716
-0.336029,0.0285653,-0.171456,-0.000518153,-0.000224545,-0.000107785,104.738,2.5,104.738
-0.311978,0.0285674,-0.171509,0.000393625,-9.41784e-05,-0.00117496,0.609511,2.5,0.609511
-0.28801,0.0286082,-0.171491,-0.000581793,0.0017799,-0.000999789,3.55505,2.5,3.55505
-0.26402,0.0284797,-0.1714,8.7796e-05,-0.00112443,0.000399402,1.21992,2.5,1.21992
-0.239987,0.0283269,-0.171424,0.000228641,-0.00316241,0.000295139,4.0822,2.5,4.0822
-0.216046,0.0285722,-0.171464,-0.000453599,0.000214106,-0.000335153,20.0412,2.5,20.0412
-0.192005,0.0279923,-0.171583,-9.76288e-05,-0.00814015,-0.00145138,11.4501,2.49999,11.45
-0.168107,0.0285932,-0.171532,-0.000865384,-1.46898e-05,-0.00101066,2.39426,2.5,2.39426
-0.14387,0.028506,-0.171556,0.00104245,-0.00183229,-0.00182523,7.1634,2.5,7.1634
-0.120037,0.028548,-0.171471,-0.000302524,0.000414778,-0.000360619,38.96,2.5,38.96
-0.0959778,0.0283976,-0.17147,0.000144392,-0.00256201,-0.00075451,31.9627,2.5,31.9627
-0.0720052,0.0284069,-0.171529,-6.96047e-05,-0.00131159,-0.000831995,36.0254,2.5,36.0254
-0.0481375,0.0285931,-0.17155,-0.00150405,0.000194706,-0.00101521,13.9168,2.5,13.9168
-0.0239341,0.0285836,-0.171453,-6.57135e-05,-0.000589242,-0.000454808,7.26708,2.5,7.26708
4.57495e-05,0.0285767,-0.171466,0.00117879,1.62616e-05,-0.00111814,6.28108,1.795,4.50981
0.119988,0.0287264,-0.171484,-0.000137823,0.00130315,-0.00194757,62.8298,1.795,45.1117
0.239985,0.0282928,-0.171515,-0.000169151,-0.00275111,-0.00238058,2.8108,1.795,2.01815
0.359984,0.0283145,-0.171462,-0.000185917,-0.00243055,-0.000847512,3.13352,1.795,2.24987
0.479986,0.0283192,-0.171445,-0.000193217,-0.00249043,-0.000646658,40.1224,1.795,28.8079
0.599986,0.0283349,-0.171417,-0.000145044,-0.00199534,-1.32426e-05,12.5743,1.795,9.02834
-0.576007,0.0571083,-0.171587,-0.000117326,-0.000388216,-0.00256104,1.72455,2.5,1.72455
-0.552198,0.0571001,-0.171723,-0.00285231,-0.00115551,-0.00364851,29.391,2.5,29.391
-0.527809,0.0570338,-0.171422,0.00275035,-0.00167723,-0.000191226,48.0328,2.5,48.0328
-0.504006,0.0571235,-0.171459,-7.68087e-05,-0.000459147,-0.00045965,18.4469,2.5,18.4469
-0.480116,0.0570846,-0.171492,-0.00166332,-0.000372944,-0.000614238,0.613478,2.5,0.613478
-0.455897,0.0572287,-0.171373,0.00146085,0.000896548,0.000583921,29.6384,2.5,29.6384
-0.432005,0.0571212,-0.171512,-8.21015e-05,5.61549e-05,-0.00167918,38.989,2.5,38.9891
-0.40801,0.0571222,-0.171545,-0.000483708,-0.000858868,-0.00126728,97.5006,2.5,97.5007
-0.384,0.0571487,-0.171558,0.000340021,1.14161e-05,-0.00135303,202.789,2.5,202.789
-0.360018,0.0570301,-0.171566,-0.000291785,-0.00141981,-0.00122621,165.056,2.5,165.056
-0.336047,0.0571001,-0.171397,-0.000279483,-0.000781916,0.000275256,17.4315,2.5,17.4315
-0.311944,0.0571126,-0.171402,0.000428016,-0.000325855,-0.000474878,4.38694,2.5,4.38694
-0.288043,0.0570975,-0.171448,-0.00072187,-0.00112068,-0.00170449,0.730024,2.5,0.730024
-0.264058,0.0571206,-0.171494,-0.00079599,-0.000918867,-0.00128658,0.910545,2.5,0.910546
-0.240008,0.0570262,-0.171541,-0.000135211,-0.00351496,-0.00121225,3.0786,2.5,3.0786
-0.215913,0.05719,-0.171496,0.0013168,0.000738706,-0.00106867,11.3482,2.5,11.3482
-0.192032,0.0572483,-0.171606,-0.000604297,0.00173014,-0.00160421,8.97675,2.5,8.97674
-0.16798,0.0572715,-0.171647,-0.000957425,0.00220016,-0.0024399,6.50169,2.5,6.50168
-0.144003,0.0571509,-0.17144,0.00130519,0.000825081,-0.0007012,12.1094,2.5,12.1094
-0.120005,0.0570664,-0.171583,-6.75608e-05,-0.000466122,-0.00192816,24.1429,2.5,24.1429
