x,vx,rho,e,P
0.87917,0.659286,0.2,2.3187,0.1795
0.88334,0.630571,0.2,2.27856,0.1795
0.887755,0.558022,0.2,2.20291,0.1795
0.892661,0.434714,0.2,2.09686,0.1795
0.898266,0.284457,0.2,1.98453,0.1795
0.904593,0.152195,0.2,1.89494,0.1795
0.911466,0.0674774,0.2,1.84045,0.1795
0.918646,0.0262047,0.2,1.81391,0.1795
0.92596,0.0092465,0.2,1.80278,0.1795
0.933327,0.00262197,0.2,1.79855,0.1795
0.940712,-6.03579e-06,0.2,1.79703,0.1795
0.948103,-0.00101408,0.2,1.79642,0.1795
0.955497,-0.00113541,0.2,1.7958,0.1795
0.962898,0.000366252,0.2,1.79425,0.1795
0.970319,0.00461068,0.2,1.79067,0.1795
0.977791,0.0139589,0.2,1.78421,0.1795
0.98534,0.0277253,0.2,1.77391,0.1795
0.993038,0.0479086,0.2,1.76045,0.1795
1.00088,0.0719154,0.2,1.74377,0.1795
1.00895,0.0972155,0.2,1.72513,0.1795
1.01724,0.1288,0.2,1.70528,0.1795
1.02577,0.155072,0.2,1.68282,0.1795
1.03465,0.193762,0.2,1.65977,0.1795
1.04376,0.226942,0.2,1.63283,0.1795
1.05342,0.270067,0.2,1.6052,0.1795
1.06331,0.315176,0.2,1.57546,0.1795
1.07391,0.355622,0.2,1.54424,0.1795
1.08487,0.412108,0.2,1.5139,0.1795
1.09651,0.450294,0.2,1.47984,0.1795
1.10884,0.513805,0.2,1.44713,0.1795
1.12177,0.563161,0.2,1.40871,0.1795
1.13589,0.632493,0.2,1.36907,0.1795
1.15079,0.705654,0.2,1.32609,0.1795
1.16734,0.778359,0.2,1.28253,0.1795
1.18503,0.864398,0.2,1.24091,0.1795
1.20468,0.933921,0.2,1.20091,0.1795
1.2257,1.01685,0.2,1.16474,0.1795
1.24908,1.08195,0.2,1.12713,0.1795
1.27409,1.16578,0.2,1.08439,0.1795
1.30363,1.29537,0.2,1.01869,0.1795
1.33845,1.44933,0.2,0.937381,0.1795
1.38275,1.64502,0.2,0.848324,0.1795
1.44471,1.8614,0.2,0.870629,0.1795
1.55614,2.17749,0.2,1.14813,0.1795
